,dn_crop,dn_order,box_order,class_name,class_id,image,index_image,crop_width,crop_height,crop_area,left_x,top_y,width,height,deviation-score,centerness-score,RGB_x,Proportion_x,RGB_y,Proportion_y,palette_name,position_on_pltt,match1,match2,match3,RGB_x_hex
0,img_1_1_192_Food.jpg.jpg,1,1,Food,192,Pillow_select/Page_10_11.jpg,Page_10_11,405,381,154305,39,48,404,381,0.7136241585901503,279.97723121711164,"Rgb(r=174, g=162, b=148)",0.6381634676038569,"Rgb(r=246, g=245, b=242)",0.3618365323961431,Newborn Bundle,2,449,338,1300,#aea294
1,img_2_4_432_Clothing.jpg.jpg,2,4,Clothing,432,Pillow_select/Page_10_12.jpg,Page_10_12,374,443,165682,33,14,374,443,0.7429661556013466,302.41734407933683,"Rgb(r=213, g=82, b=79)",0.5451328341368346,"Rgb(r=254, g=253, b=253)",0.45486716586316545,Natural Flush,2,844,1243,607,#d5524f
2,img_3_5_365_Picture frame.jpg.jpg,3,5,Picture frame,365,Pillow_select/Page_10_13.jpg,Page_10_13,414,443,183402,34,19,414,443,0.7350330278890626,314.7812732676453,"Rgb(r=215, g=215, b=219)",0.6173918748257369,"Rgb(r=251, g=251, b=251)",0.3826081251742632,Seaweed Sushi,3,1170,432,213,#d7d7db
3,img_4_6_465_Furniture.jpg.jpg,4,6,Furniture,465,Pillow_select/Page_10_14.jpg,Page_10_14,477,273,130221,-5,122,482,274,0.6507117725582321,236.47621444872632,"Rgb(r=18, g=18, b=18)",0.5889218210971284,"Rgb(r=249, g=249, b=249)",0.41107817890287157,Secret Romance,1,824,1198,1284,#121212
4,img_5_9_446_Book.jpg.jpg,5,9,Book,446,Pillow_select/Page_10_15.jpg,Page_10_15,462,459,212058,5,28,468,459,0.6744809401802017,312.60718161936074,"Rgb(r=233, g=232, b=230)",0.9715978611686498,"Rgb(r=229, g=227, b=228)",0.028402138831350256,Living Details,1,444,258,1412,#e9e8e6
5,img_6_10_432_Clothing.jpg.jpg,6,10,Clothing,432,Pillow_select/Page_10_16.jpg,Page_10_16,463,338,156494,7,70,463,338,0.6527690178759137,258.2310012372643,"Rgb(r=134, g=26, b=23)",0.6409176364198853,"Rgb(r=254, g=254, b=253)",0.3590823635801147,Red Pear Craving,3,734,1422,743,#861a17
6,img_7_11_297_Mammal.jpg.jpg,7,11,Mammal,297,Pillow_select/Page_10_18.jpg,Page_10_18,460,455,209300,12,25,460,463,0.6893412308280171,318.1292976134075,"Rgb(r=169, g=163, b=152)",0.6038616910647148,"Rgb(r=247, g=247, b=246)",0.3961383089352852,House on Water,2,171,957,277,#a9a398
7,img_8_13_432_Clothing.jpg.jpg,8,13,Clothing,432,Pillow_select/Page_10_19.jpg,Page_10_19,474,461,218514,0,6,475,461,0.6983957282360795,326.8126374545513,"Rgb(r=216, g=205, b=125)",0.5781033791560516,"Rgb(r=192, g=178, b=106)",0.4218966208439484,Sun-bathed Pelican,3,536,590,1236,#d8cd7d
8,img_9_14_432_Clothing.jpg.jpg,9,14,Clothing,432,Pillow_select/Page_10_1.jpg,Page_10_1,479,419,200701,-4,29,488,419,0.6641081270731585,300.30026640014825,"Rgb(r=254, g=254, b=254)",0.5115237599800964,"Rgb(r=95, g=112, b=121)",0.48847624001990364,Morning Sun,0,901,1019,1107,#fefefe
9,img_10_15_465_Furniture.jpg.jpg,10,15,Furniture,465,Pillow_select/Page_10_21.jpg,Page_10_21,329,230,75670,132,155,329,230,1.0876254714358389,299.18597894954905,"Rgb(r=213, g=213, b=213)",0.5670284347032929,"Rgb(r=180, g=180, b=180)",0.43297156529670705,Pineapple Crowns,2,623,508,1170,#d5d5d5
10,img_11_20_465_Furniture.jpg.jpg,11,20,Furniture,465,Pillow_select/Page_10_22.jpg,Page_10_22,459,276,126684,10,76,459,276,0.6950721800506822,247.39492719132298,"Rgb(r=48, g=44, b=41)",0.6841383304628798,"Rgb(r=171, g=163, b=154)",0.3158616695371203,Jungle at Noon,0,1067,203,983,#302c29
11,img_12_21_560_Animal.jpg.jpg,12,21,Animal,560,Pillow_select/Page_10_23.jpg,Page_10_23,479,479,229441,-12,-30,504,538,0.7362981995427591,383.4070943527258,"Rgb(r=240, g=219, b=209)",0.9348641834485318,"Rgb(r=224, g=180, b=166)",0.06513581655146816,Orchid Perfume,1,871,396,115,#f0dbd1
12,img_13_22_68_Person.jpg.jpg,13,22,Person,68,Pillow_select/Page_10_24.jpg,Page_10_24,475,439,208525,0,39,475,439,0.6532553840657833,298.30605089404406,"Rgb(r=120, g=90, b=51)",0.6156585897780862,"Rgb(r=254, g=254, b=253)",0.3843414102219138,Foggy Mountains Beyond,0,741,441,801,#785a33
13,img_14_24_465_Furniture.jpg.jpg,14,24,Furniture,465,Pillow_select/Page_10_25.jpg,Page_10_25,440,365,160600,20,56,441,365,0.6773099706354409,271.73976521664986,"Rgb(r=76, g=181, b=206)",0.6001074082675337,"Rgb(r=254, g=254, b=254)",0.39989259173246633,Cheery Cake Pops,3,115,1145,38,#4cb5ce
14,img_15_25_333_Plant.jpg.jpg,15,25,Plant,333,Pillow_select/Page_10_26.jpg,Page_10_26,427,469,200263,26,4,427,469,0.7427832651740246,332.4011131148631,"Rgb(r=253, g=253, b=253)",0.712985842985843,"Rgb(r=99, g=98, b=98)",0.287014157014157,Makeshift Slumber,1,436,1246,1327,#fdfdfd
15,img_16_26_68_Person.jpg.jpg,16,26,Person,68,Pillow_select/Page_10_28.jpg,Page_10_28,461,476,219436,8,-4,461,481,0.7253416878144523,341.558926102071,"Rgb(r=228, g=228, b=221)",0.7828956897800401,"Rgb(r=175, g=174, b=164)",0.21710431021995985,Tending the Herd,2,628,410,863,#e4e4dd
16,img_17_27_465_Furniture.jpg.jpg,17,27,Furniture,465,Pillow_select/Page_10_29.jpg,Page_10_29,295,362,106790,118,57,294,363,0.8962463550312935,292.78874636843534,"Rgb(r=32, g=32, b=37)",0.5504605134234763,"Rgb(r=217, g=217, b=220)",0.4495394865765236,Sugar-free Coffee,1,858,926,267,#202025
