,RGB1,RGB2,RGB3,RGB4
Up Shore,"rgb(2, 146, 183)","rgb(26, 200, 219)","rgb(140, 117, 106)","rgb(222, 226, 236)"
Thwarted Summer Shower,"rgb(76, 82, 112)","rgb(246, 82, 160)","rgb(54, 238, 224)","rgb(188, 236, 224)"
Luscious Lemonade,"rgb(225, 195, 64)","rgb(76, 215, 208)","rgb(164, 232, 224)","rgb(248, 234, 140)"
Rosettes and Cream,"rgb(216, 167, 177)","rgb(182, 226, 211)","rgb(250, 232, 224)","rgb(239, 124, 142)"
Berry Blues,"rgb(78, 26, 61)","rgb(207, 238, 209)","rgb(255, 39, 104)","rgb(5, 224, 233)"
Mermaid Lagoon,"rgb(177, 212, 224)","rgb(46, 139, 192)","rgb(12, 45, 72)","rgb(20, 93, 160)"
Emerald Entrance,"rgb(182, 141, 64)","rgb(244, 235, 208)","rgb(18, 38, 32)","rgb(214, 173, 96)"
Healthy Leaves,"rgb(89, 152, 26)","rgb(236, 248, 127)","rgb(129, 182, 34)","rgb(61, 85, 12)"
Room for Comfort,"rgb(238, 237, 231)","rgb(134, 139, 142)","rgb(185, 183, 189)","rgb(231, 210, 204)"
Wild Orchid,"rgb(116, 26, 172)","rgb(52, 7, 68)","rgb(222, 186, 214)","rgb(0, 84, 55)"
Diaphanous Jellyfish,"rgb(4, 31, 96)","rgb(4, 118, 208)","rgb(44, 238, 240)","rgb(180, 245, 240)"
Window Tide,"rgb(195, 224, 229)","rgb(39, 68, 114)","rgb(88, 133, 175)","rgb(65, 114, 159)"
Berry Jar,"rgb(248, 56, 57)","rgb(81, 59, 65)","rgb(127, 229, 240)","rgb(200, 244, 249)"
Petal Party,"rgb(135, 10, 48)","rgb(236, 143, 208)","rgb(212, 55, 144)","rgb(242, 197, 224)"
Pasture of Dreams,"rgb(97, 54, 89)","rgb(33, 21, 34)","rgb(193, 151, 210)","rgb(211, 177, 194)"
Retro Punch,"rgb(245, 23, 32)","rgb(250, 38, 160)","rgb(248, 210, 16)","rgb(47, 243, 224)"
Bamboo Beach,"rgb(93, 108, 137)","rgb(54, 214, 231)","rgb(254, 176, 106)","rgb(251, 246, 243)"
In the Blue,"rgb(12, 105, 128)","rgb(0, 168, 168)","rgb(46, 181, 224)","rgb(196, 219, 224)"
Foil-covered Sneakers,"rgb(51, 54, 82)","rgb(250, 208, 44)","rgb(233, 234, 236)","rgb(144, 173, 198)"
Mellow Barnyard,"rgb(40, 33, 32)","rgb(250, 208, 44)","rgb(248, 239, 228)","rgb(230, 194, 191)"
Athleisure Style,"rgb(206, 35, 128)","rgb(214, 223, 224)","rgb(23, 24, 16)","rgb(7, 218, 192)"
Soft Focus Forest,"rgb(12, 20, 70)","rgb(135, 172, 163)","rgb(43, 124, 133)","rgb(23, 88, 115)"
Salmon Sushi,"rgb(231, 242, 248)","rgb(116, 189, 203)","rgb(255, 163, 132)","rgb(239, 231, 188)"
Icy Gradient,"rgb(238, 181, 235)","rgb(194, 109, 188)","rgb(200, 244, 249)","rgb(60, 172, 174)"
Pomegranate on Print,"rgb(239, 235, 226)","rgb(177, 117, 255)","rgb(171, 5, 82)","rgb(7, 4, 10)"
Green Tracks,"rgb(67, 177, 75)","rgb(230, 215, 213)","rgb(158, 111, 109)","rgb(30, 49, 72)"
Way up North,"rgb(30, 61, 88)","rgb(5, 125, 205)","rgb(67, 176, 241)","rgb(232, 238, 241)"
Sea of Serenity,"rgb(5, 157, 192)","rgb(106, 242, 240)","rgb(4, 212, 240)","rgb(4, 236, 240)"
Melted Ice Cream,"rgb(246, 200, 204)","rgb(235, 245, 247)","rgb(193, 91, 120)","rgb(91, 176, 186)"
Watermelon and Stripes,"rgb(29, 116, 27)","rgb(136, 202, 94)","rgb(241, 192, 185)","rgb(210, 251, 164)"
Crystal Feline,"rgb(82, 152, 193)","rgb(18, 49, 117)","rgb(192, 194, 201)","rgb(99, 116, 122)"
Northern Lights,"rgb(234, 234, 224)","rgb(28, 70, 112)","rgb(39, 138, 176)","rgb(29, 198, 144)"
Rosy Dew,"rgb(249, 241, 240)","rgb(250, 220, 217)","rgb(248, 175, 166)","rgb(247, 148, 137)"
Butterfly Kisses,"rgb(160, 47, 0)","rgb(159, 199, 170)","rgb(96, 46, 158)","rgb(180, 100, 163)"
Blushing Landscape,"rgb(255, 136, 130)","rgb(84, 56, 85)","rgb(232, 141, 114)","rgb(255, 163, 132)"
Pale Blossom,"rgb(225, 226, 231)","rgb(252, 192, 197)","rgb(191, 76, 65)","rgb(152, 4, 45)"
Strawberry Froth,"rgb(228, 61, 64)","rgb(243, 121, 112)","rgb(248, 92, 112)","rgb(250, 190, 192)"
Center of Life,"rgb(228, 70, 80)","rgb(235, 99, 160)","rgb(251, 209, 96)","rgb(248, 168, 197)"
Sweet Orchid,"rgb(110, 53, 98)","rgb(209, 3, 209)","rgb(109, 131, 67)","rgb(163, 193, 74)"
Thirst Quencher,"rgb(254, 222, 0)","rgb(180, 248, 200)","rgb(106, 184, 238)","rgb(168, 217, 248)"
Summer Splash,"rgb(212, 241, 244)","rgb(117, 230, 218)","rgb(24, 154, 180)","rgb(5, 68, 94)"
Antique Rose,"rgb(159, 144, 207)","rgb(4, 97, 177)","rgb(177, 54, 91)","rgb(233, 216, 225)"
Summer Popsicle,"rgb(43, 86, 21)","rgb(248, 207, 44)","rgb(219, 85, 212)","rgb(155, 148, 138)"
Sunset Waters,"rgb(161, 169, 254)","rgb(65, 32, 169)","rgb(161, 106, 232)","rgb(246, 212, 210)"
Sun Ready,"rgb(243, 188, 80)","rgb(37, 192, 192)","rgb(250, 83, 160)","rgb(252, 139, 192)"
Beautiful Abstraction,"rgb(194, 226, 245)","rgb(121, 169, 245)","rgb(75, 123, 245)","rgb(0, 0, 255)"
Four-layered Cake,"rgb(182, 204, 215)","rgb(188, 156, 34)","rgb(54, 27, 40)","rgb(191, 132, 34)"
Padlocked Doors,"rgb(61, 91, 89)","rgb(181, 229, 207)","rgb(252, 181, 172)","rgb(185, 144, 149)"
Plaid Pair,"rgb(49, 78, 112)","rgb(53, 213, 208)","rgb(237, 174, 192)","rgb(235, 238, 224)"
Facing Forward,"rgb(219, 31, 72)","rgb(0, 67, 105)","rgb(1, 148, 154)","rgb(229, 221, 200)"
Arts and Crafts,"rgb(160, 106, 180)","rgb(255, 215, 67)","rgb(7, 187, 156)","rgb(215, 115, 162)"
Right on Time,"rgb(195, 131, 112)","rgb(164, 92, 64)","rgb(228, 183, 160)","rgb(246, 238, 224)"
Lake View,"rgb(113, 1, 23)","rgb(255, 255, 255)","rgb(236, 213, 187)","rgb(84, 98, 123)"
Pastel Dreams,"rgb(255, 174, 188)","rgb(160, 231, 229)","rgb(180, 248, 200)","rgb(251, 231, 198)"
Sun-kissed Orchids,"rgb(254, 218, 21)","rgb(200, 101, 27)","rgb(222, 0, 1)","rgb(39, 35, 31)"
Speedy Stopover,"rgb(178, 74, 59)","rgb(116, 183, 172)","rgb(152, 134, 134)","rgb(34, 34, 34)"
Sky Balloons,"rgb(38, 146, 208)","rgb(89, 206, 224)","rgb(71, 216, 224)","rgb(24, 72, 160)"
Bubbly Banana,"rgb(21, 181, 176)","rgb(249, 189, 192)","rgb(251, 230, 152)","rgb(109, 236, 224)"
Chocolate Chip Delight,"rgb(174, 139, 112)","rgb(48, 52, 55)","rgb(217, 206, 214)","rgb(79, 0, 0)"
Crimson and Blues,"rgb(242, 238, 247)","rgb(27, 74, 86)","rgb(163, 163, 183)","rgb(255, 39, 104)"
Artisan Dream,"rgb(219, 63, 41)","rgb(215, 164, 73)","rgb(232, 227, 204)","rgb(11, 31, 101)"
Alluring Shadows,"rgb(182, 55, 251)","rgb(149, 5, 227)","rgb(126, 30, 128)","rgb(61, 57, 59)"
Flecks of Gems,"rgb(0, 224, 235)","rgb(212, 176, 203)","rgb(4, 211, 188)","rgb(122, 121, 125)"
Smiling Roses,"rgb(99, 140, 128)","rgb(46, 118, 94)","rgb(241, 204, 215)","rgb(226, 128, 138)"
Pastel Blonde,"rgb(136, 123, 176)","rgb(133, 210, 208)","rgb(244, 185, 184)","rgb(255, 244, 189)"
Always Look Up,"rgb(127, 143, 163)","rgb(255, 160, 163)","rgb(119, 221, 249)","rgb(234, 251, 255)"
Spread Your Wings,"rgb(248, 207, 64)","rgb(2, 84, 146)","rgb(0, 0, 255)","rgb(49, 180, 242)"
Fresh Grapefruit,"rgb(255, 176, 103)","rgb(255, 233, 228)","rgb(255, 112, 119)","rgb(172, 238, 243)"
Pop Princess,"rgb(58, 167, 160)","rgb(243, 76, 80)","rgb(247, 201, 192)","rgb(159, 217, 208)"
Everest Springs,"rgb(137, 207, 240)","rgb(91, 116, 133)","rgb(95, 201, 218)","rgb(172, 230, 242)"
Bold Geometry,"rgb(227, 66, 52)","rgb(5, 5, 51)","rgb(242, 241, 232)","rgb(13, 105, 139)"
Bright Lights,"rgb(0, 48, 96)","rgb(5, 92, 157)","rgb(14, 134, 212)","rgb(104, 187, 227)"
Birth Spring,"rgb(228, 180, 180)","rgb(157, 169, 147)","rgb(227, 232, 233)","rgb(188, 168, 142)"
Melted Chocolate,"rgb(248, 207, 44)","rgb(41, 18, 17)","rgb(255, 254, 230)","rgb(37, 40, 39)"
Forever Fields,"rgb(255, 69, 0)","rgb(255, 131, 0)","rgb(223, 54, 45)","rgb(183, 172, 68)"
Everything Nice,"rgb(253, 73, 160)","rgb(161, 106, 232)","rgb(180, 254, 231)","rgb(96, 63, 139)"
Middle Eastern Empire,"rgb(30, 38, 64)","rgb(243, 234, 192)","rgb(220, 151, 80)","rgb(146, 44, 64)"
Catching the Sun,"rgb(222, 220, 228)","rgb(201, 141, 38)","rgb(3, 166, 90)","rgb(0, 94, 56)"
Milky Stream,"rgb(231, 222, 217)","rgb(19, 41, 42)","rgb(255, 255, 255)","rgb(152, 135, 128)"
Water Foam,"rgb(41, 160, 177)","rgb(22, 125, 127)","rgb(152, 215, 194)","rgb(221, 255, 231)"
Salmon for Brunch,"rgb(92, 95, 48)","rgb(238, 120, 64)","rgb(240, 218, 192)","rgb(246, 169, 112)"
Afternoon Sinkers,"rgb(143, 221, 231)","rgb(251, 229, 200)","rgb(182, 229, 216)","rgb(255, 194, 199)"
Under the Ferns,"rgb(24, 165, 88)","rgb(163, 235, 177)","rgb(33, 182, 168)","rgb(17, 101, 48)"
Kiddie Shawl,"rgb(164, 71, 87)","rgb(247, 172, 50)","rgb(248, 211, 183)","rgb(180, 248, 200)"
Sunlit Eggplant,"rgb(214, 123, 168)","rgb(178, 19, 104)","rgb(95, 9, 61)","rgb(239, 211, 181)"
Here at Home,"rgb(116, 108, 112)","rgb(78, 79, 80)","rgb(226, 222, 208)","rgb(100, 124, 144)"
Northern Lights,"rgb(8, 49, 58)","rgb(92, 216, 90)","rgb(16, 120, 105)","rgb(26, 86, 83)"
Breakfast Coffee Spread,"rgb(86, 56, 45)","rgb(249, 254, 251)","rgb(174, 139, 112)","rgb(107, 27, 0)"
Rose-colored Glasses,"rgb(255, 194, 199)","rgb(255, 255, 255)","rgb(154, 90, 67)","rgb(212, 233, 240)"
Rosy Afters,"rgb(130, 29, 48)","rgb(251, 96, 144)","rgb(247, 214, 208)","rgb(255, 197, 208)"
Summer Soft,"rgb(99, 79, 80)","rgb(241, 236, 208)","rgb(227, 217, 224)","rgb(180, 100, 144)"
Stepping Stones,"rgb(75, 68, 60)","rgb(77, 0, 17)","rgb(83, 86, 90)","rgb(228, 229, 232)"
Sun-kissed Rock,"rgb(255, 163, 3)","rgb(162, 171, 206)","rgb(245, 99, 26)","rgb(255, 224, 174)"
Sweet Toppings,"rgb(255, 243, 135)","rgb(233, 233, 231)","rgb(255, 39, 104)","rgb(19, 195, 247)"
Sip of Orange,"rgb(86, 88, 25)","rgb(255, 130, 16)","rgb(251, 200, 88)","rgb(180, 248, 200)"
Rosy Flamingo,"rgb(103, 89, 94)","rgb(164, 147, 147)","rgb(238, 214, 211)","rgb(232, 180, 184)"
Cotton Dandelions,"rgb(63, 65, 34)","rgb(83, 111, 22)","rgb(212, 214, 207)","rgb(1, 58, 32)"
Calming View,"rgb(29, 179, 192)","rgb(49, 204, 224)","rgb(77, 221, 224)","rgb(213, 213, 192)"
Varsity Track,"rgb(0, 134, 172)","rgb(17, 129, 200)","rgb(242, 240, 252)","rgb(255, 0, 0)"
Calm Perspective,"rgb(150, 161, 168)","rgb(0, 224, 234)","rgb(0, 187, 209)","rgb(252, 248, 246)"
