index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y,location-on-pltt,match1,match2,match3,palette_name,position_on_pltt
Page_1_1,0,https://ak1.ostkcdn.com/images/products/9412909/L16600539.jpg?imwidth=480&impolicy=medium,"(247, 245, 243)",0.6412951874029719,"(183, 153, 126)",0.3587048125970282,"[1756, 3]",1215,1352,1514,Afternoon Fast Break,3
Page_1_2,1,https://ak1.ostkcdn.com/images/products/13218518/L19936654.jpg?imwidth=480&impolicy=medium,"(244, 241, 238)",0.7219630619833441,"(185, 164, 148)",0.2780369380166559,"[2241, 1]",164,1352,828,Rice and Shine,1
Page_1_3,2,https://ak1.ostkcdn.com/images/products/8816874/L16050950.jpg?imwidth=480&impolicy=medium,"(254, 254, 252)",0.8302249479393121,"(41, 48, 66)",0.16977505206068788,"[3063, 1]",270,381,272,Rustic Bridal Bouquet,1
Page_1_4,3,https://ak1.ostkcdn.com/images/products/6624571/L14191181.jpg?imwidth=480&impolicy=medium,"(169, 159, 146)",0.6458813818552597,"(14, 37, 54)",0.3541186181447404,"[2890, 0]",381,326,1226,Ash Gothamite,0
Page_1_5,4,https://ak1.ostkcdn.com/images/products/8817153/L16051170.jpg?imwidth=480&impolicy=medium,"(213, 211, 210)",0.5783118145690846,"(213, 212, 216)",0.4216881854309154,"[950, 0]",365,203,1352,Stirrings of Spring,0
Page_1_6,5,https://ak1.ostkcdn.com/images/products/11381991/L18350445.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.5560035629049914,"(111, 96, 108)",0.4439964370950085,"[684, 0]",173,457,1667,Morning Sun,0
Page_1_7,6,https://ak1.ostkcdn.com/images/products/25776704/L31070776.jpg?imwidth=480&impolicy=medium,"(241, 243, 247)",0.6638656057589435,"(175, 163, 148)",0.33613439424105657,"[805, 0]",272,118,306,Fresh Garden Harvest,0
Page_1_8,7,https://ak1.ostkcdn.com/images/products/9937110/L17092429.jpg?imwidth=480&impolicy=medium,"(166, 185, 92)",0.7825699217368575,"(254, 254, 251)",0.2174300782631425,"[1359, 2]",968,272,1590,Verdant Slopes,2
Page_1_9,8,https://ak1.ostkcdn.com/images/products/10694023/L17755976.jpg?imwidth=480&impolicy=medium,"(247, 245, 243)",0.6417237329078297,"(183, 153, 126)",0.3582762670921703,"[1756, 3]",945,1763,1279,Afternoon Fast Break,3
Page_1_10,9,https://ak1.ostkcdn.com/images/products/12038041/L18909705.jpg?imwidth=480&impolicy=medium,"(252, 250, 247)",0.8557748050271814,"(183, 164, 129)",0.14422519497281866,"[1217, 2]",521,25,102,Summer Backyard,2
Page_1_11,10,https://ak1.ostkcdn.com/images/products/10438315/L17535380.jpg?imwidth=480&impolicy=medium,"(171, 162, 147)",0.5661795626576955,"(253, 252, 252)",0.4338204373423045,"[2890, 0]",787,1352,365,Ash Gothamite,0
Page_1_12,11,https://ak1.ostkcdn.com/images/products/10356598/L17464870.jpg?imwidth=480&impolicy=medium,"(154, 6, 39)",0.7725830932834593,"(254, 254, 254)",0.22741690671654066,"[956, 1]",828,1770,895,Fresh Plate,1
Page_1_13,12,https://ak1.ostkcdn.com/images/products/8595240/L15865931.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.7319183974296227,"(40, 127, 146)",0.2680816025703773,"[684, 0]",577,1477,365,Morning Sun,0
Page_1_14,13,https://ak1.ostkcdn.com/images/products/16760811/L23070236.jpg?imwidth=480&impolicy=medium,"(242, 234, 232)",0.7745949593866979,"(191, 162, 157)",0.2254050406133021,"[182, 2]",52,1536,110,San Francisco Clouded,2
Page_1_15,14,https://ak1.ostkcdn.com/images/products/16107112/L22489208.jpg?imwidth=480&impolicy=medium,"(223, 215, 208)",0.7903226636608351,"(222, 221, 225)",0.20967733633916485,"[2066, 3]",1542,1469,113,Bowing Blooms,3
Page_1_16,15,https://ak1.ostkcdn.com/images/products/8557470/L15834599.jpg?imwidth=480&impolicy=medium,"(254, 254, 254)",0.6730699143533986,"(38, 127, 147)",0.3269300856466015,"[684, 0]",203,912,1352,Morning Sun,0
Page_1_17,16,https://ak1.ostkcdn.com/images/products/22828402/L28411808.jpg?imwidth=480&impolicy=medium,"(232, 225, 215)",0.720612163086283,"(188, 165, 142)",0.2793878369137171,"[2598, 3]",702,1352,123,Home Serenity,3
Page_1_18,17,https://ak1.ostkcdn.com/images/products/9943661/L17098494.jpg?imwidth=480&impolicy=medium,"(177, 1, 13)",0.6222188253677094,"(169, 86, 47)",0.3777811746322905,"[1940, 3]",1055,1215,1404,Fresh Apples,3
Page_1_19,18,https://ak1.ostkcdn.com/images/products/13784686/L20436120.jpg?imwidth=480&impolicy=medium,"(176, 155, 126)",0.5175547592902965,"(45, 112, 135)",0.4824452407097035,"[1854, 1]",1202,673,143,Stuck at Home,1
Page_1_20,19,https://ak1.ostkcdn.com/images/products/19879905/L25806930.jpg?imwidth=480&impolicy=medium,"(21, 34, 61)",0.6413143511823151,"(178, 163, 153)",0.3586856488176849,"[694, 3]",923,105,1414,Raining Umbrellas,3
Page_1_21,20,https://ak1.ostkcdn.com/images/products/9511863/L16690708.jpg?imwidth=480&impolicy=medium,"(248, 247, 246)",0.8841270362945192,"(187, 164, 149)",0.11587296370548088,"[2213, 1]",696,824,1352,Coat and Coffee,1
Page_1_22,21,https://ak1.ostkcdn.com/images/products/21028811/L26817827.jpg?imwidth=480&impolicy=medium,"(218, 215, 209)",0.750877437774367,"(183, 172, 161)",0.24912256222563295,"[3057, 1]",1503,1327,441,Just Got Married,1
Page_1_23,22,https://ak1.ostkcdn.com/images/products/21529679/L27259835.jpg?imwidth=480&impolicy=medium,"(112, 91, 79)",0.5324092183323554,"(171, 159, 149)",0.4675907816676446,"[3065, 2]",6,1118,1852,Cabin Getaway,2
Page_1_24,23,https://ak1.ostkcdn.com/images/products/17909469/L24092090.jpg?imwidth=480&impolicy=medium,"(183, 164, 145)",0.7003512262465487,"(202, 199, 193)",0.2996487737534513,"[2581, 2]",1587,1813,1404,Research Readings,2
