index,Unnamed: 0,url,RGB_x,Proportion_x,RGB_y,Proportion_y
Page_1_1,0,https://ak1.ostkcdn.com/images/products/9412909/L16600539.jpg?imwidth=480&impolicy=medium,"Rgb(r=247, g=245, b=243)",0.6412951874029719,"Rgb(r=183, g=153, b=126)",0.3587048125970282
Page_1_2,1,https://ak1.ostkcdn.com/images/products/13218518/L19936654.jpg?imwidth=480&impolicy=medium,"Rgb(r=244, g=241, b=238)",0.721963061983344,"Rgb(r=185, g=164, b=148)",0.2780369380166559
Page_1_3,2,https://ak1.ostkcdn.com/images/products/8816874/L16050950.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=252)",0.8302249479393121,"Rgb(r=41, g=48, b=66)",0.16977505206068788
Page_1_4,3,https://ak1.ostkcdn.com/images/products/6624571/L14191181.jpg?imwidth=480&impolicy=medium,"Rgb(r=169, g=159, b=146)",0.6458813818552597,"Rgb(r=14, g=37, b=54)",0.3541186181447404
Page_1_5,4,https://ak1.ostkcdn.com/images/products/8817153/L16051170.jpg?imwidth=480&impolicy=medium,"Rgb(r=213, g=211, b=210)",0.5783118145690846,"Rgb(r=213, g=212, b=216)",0.4216881854309154
Page_1_6,5,https://ak1.ostkcdn.com/images/products/11381991/L18350445.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.5560035629049914,"Rgb(r=111, g=96, b=108)",0.4439964370950085
Page_1_7,6,https://ak1.ostkcdn.com/images/products/25776704/L31070776.jpg?imwidth=480&impolicy=medium,"Rgb(r=241, g=243, b=247)",0.6638656057589435,"Rgb(r=175, g=163, b=148)",0.33613439424105657
Page_1_8,7,https://ak1.ostkcdn.com/images/products/9937110/L17092429.jpg?imwidth=480&impolicy=medium,"Rgb(r=166, g=185, b=92)",0.7825699217368575,"Rgb(r=254, g=254, b=251)",0.2174300782631425
Page_1_9,8,https://ak1.ostkcdn.com/images/products/10694023/L17755976.jpg?imwidth=480&impolicy=medium,"Rgb(r=247, g=245, b=243)",0.6417237329078297,"Rgb(r=183, g=153, b=126)",0.3582762670921703
Page_1_10,9,https://ak1.ostkcdn.com/images/products/12038041/L18909705.jpg?imwidth=480&impolicy=medium,"Rgb(r=252, g=250, b=247)",0.8557748050271814,"Rgb(r=183, g=164, b=129)",0.14422519497281866
Page_1_11,10,https://ak1.ostkcdn.com/images/products/10438315/L17535380.jpg?imwidth=480&impolicy=medium,"Rgb(r=171, g=162, b=147)",0.5661795626576955,"Rgb(r=253, g=252, b=252)",0.43382043734230447
Page_1_12,11,https://ak1.ostkcdn.com/images/products/10356598/L17464870.jpg?imwidth=480&impolicy=medium,"Rgb(r=154, g=6, b=39)",0.7725830932834593,"Rgb(r=254, g=254, b=254)",0.22741690671654066
Page_1_13,12,https://ak1.ostkcdn.com/images/products/8595240/L15865931.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.7319183974296227,"Rgb(r=40, g=127, b=146)",0.26808160257037733
Page_1_14,13,https://ak1.ostkcdn.com/images/products/16760811/L23070236.jpg?imwidth=480&impolicy=medium,"Rgb(r=242, g=234, b=232)",0.7745949593866979,"Rgb(r=191, g=162, b=157)",0.22540504061330213
Page_1_15,14,https://ak1.ostkcdn.com/images/products/16107112/L22489208.jpg?imwidth=480&impolicy=medium,"Rgb(r=223, g=215, b=208)",0.7903226636608351,"Rgb(r=222, g=221, b=225)",0.20967733633916485
Page_1_16,15,https://ak1.ostkcdn.com/images/products/8557470/L15834599.jpg?imwidth=480&impolicy=medium,"Rgb(r=254, g=254, b=254)",0.6730699143533986,"Rgb(r=38, g=127, b=147)",0.3269300856466015
Page_1_17,16,https://ak1.ostkcdn.com/images/products/22828402/L28411808.jpg?imwidth=480&impolicy=medium,"Rgb(r=232, g=225, b=215)",0.720612163086283,"Rgb(r=188, g=165, b=142)",0.2793878369137171
Page_1_18,17,https://ak1.ostkcdn.com/images/products/9943661/L17098494.jpg?imwidth=480&impolicy=medium,"Rgb(r=177, g=1, b=13)",0.6222188253677094,"Rgb(r=169, g=86, b=47)",0.3777811746322905
Page_1_19,18,https://ak1.ostkcdn.com/images/products/13784686/L20436120.jpg?imwidth=480&impolicy=medium,"Rgb(r=176, g=155, b=126)",0.5175547592902965,"Rgb(r=45, g=112, b=135)",0.4824452407097035
